Account,Actual,Budget
         Total Professional Fees,"$10,601.12 ","$4,418.81 "
         Recruiting,0,0
         Taxes & Licenses,"27,414.50",1328.405038
      Total Legal/Professional Fees,"$23,431.69 ","$31,226.73 "
      Occupancy,0,0
         Fulfillment Center Transition,0,0
         Office Supplies & Expense,1389.151736,8635.953573
         Other Business Expenses,0,0
         Rent or Lease,6581.749004,0
         Shipping & Fulfillment,0,0
         Small Equipment Purchase,0,0
         Telephone/Internet,110.6024657,926.9775883
      Total Occupancy,"$1,210.36 ","$1,564.74 "
      Salaries & Benefits,0,0
         Benefits,0,0
         Consultants/Commissions Expense,0,0
         Payroll,"138,567.41","41,673.76"
         Payroll Processing Fees,96.9065113,288.7969834
         Payroll Taxes,"3,116.17","1,817.22"
         Subcontractors,"33,751.67","26,955.00"
      Total Salaries & Benefits,"$102,670.83 ","$255,983.83 "
      Shipping & Delivery Expense,3957.229337,"1,521.23"
      Travel/Meals/Entertainment,0,0
         Auto (deleted),0,0
         Client Meals,928.3948606,5945.220123
         Entertainment (deleted),0,0
         Hotel,"3,135.74",65.30104131
         Transportation,4697.667202,597.6609094
         Travel Meals,517.4014734,16.16159786
      Total Travel/Meals/Entertainment,"$5,729.63 ",$536.18 
   Total General and Administrative Expenses,"$80,135.12 ","$79,062.83 "
   Marketing,0,0
      Marketing Dues and Subscriptions,0,0
      Marketing Expense,0,0
         Advertisements,0,0
            Analogue Ads,0,0
               Direct Mail Advertising,"4,881.15",0
               Magazine & Print Ads,0,0
               Product Giveaways,0,0
               Trade Shows,0,0
               Trade Shows (deleted),0,0
            Total Analogue Ads,"$5,113.83 ",$0.00 
            Digital Ads,0,0
               Apps & Other,1813.78918,0
               Facebook,"77,923.36","57,664.52"
               Google,"106,442.33","36,057.68"
               Online Amazon Ads,"20,058.21","30,856.06"
               Online Promotion,1189.697205,513.8481407
               Podcast,0,0
               Video Production,0,0
            Total Digital Ads,"$202,206.62 ","$107,432.60 "
            Retail Marketing,"23,028.29","66,390.35"
         Total Advertisements,"$115,191.75 ","$172,858.72 "
         Charitable Contributions,"27,220.94",0
         Email,0,0
         Marketing & Advertising (deleted),0,0
         Marketing Agency,0,0
         Online Advertising (deleted),0,0
         Photography (deleted),0,0
         PR & Influencer Marketing,0,0
            Advertising/Promotional (deleted),0,0
            Kelley (deleted),0,0
            Koenig (deleted),0,0
         Total PR & Influencer Marketing,$0.00 ,$0.00 
         Print Advertising (deleted),0,0
         Promotional,0,0
      Total Marketing Expense,"$19,637,999.37 ","$119,249.74 "
      Marketing Headcount Costs,0,0
   Total Marketing,"$753,056.30 ","$112,440.32 "
   Miscellaneous (deleted),0,0
      Disposal Fees (deleted),0,0
      Employee Appreciation/Meals (deleted),0,0
      Job Materials (deleted),0,0
      Meals & Entertainment (deleted),0,0
      Travel (deleted),0,0
   Total Miscellaneous (deleted),$0.00 ,$0.00 
   Office Expenses,0,0
   Other Business Expenses,0,0
   PayPal Fees,0,0
   Purchases,0,0
   Reimbursable Expenses,0,0
   Repairs & Maintenance (deleted),0,0
   Research & Development,0,0
      Product Development,0,0
         Design & Development,309.563939,4154.403489
         Formula R&D,0,285.3059252
         Packaging Design,970.7821204,0
      Total Product Development,"$2,232.91 ","$1,075.28 "
      Research and Development Dues and Subscriptions,0,0
      Research and Development Headcount Costs,0,0
      Website,0,0
         Apps,"26,333.72","9,984.41"
         Computer/Web Hosting (deleted),0,0
         Maintenance (deleted),0,0
         Marketing Apps,701.0143287,"11,409.50"
         Tech licenses/Domain renewals (deleted),0,0
         Web Design/Photography/Videography,-92.80357407,0
         Website Hosting,"16,394.98","3,477.78"
      Total Website,"$250,280.49 ","$15,110.74 "
   Total Research & Development,"$21,647.20 ","$28,652.29 "
   Retail Broker Fees,0,"1,099.28"
   Retail Freight Out,0,456.6424379
   Retail Trade Discounts,0,278.8679039
   Taxes & Licenses,0,0
   Tools,0,0
   Unapplied Cash Bill Payment Expense,0,0
   Uncategorized Expense,0,0
   Utilities,0,0
Total Expenses,"$445,904.11 ","$197,093.99 "
Net Operating Income,"($208,317.62)","($1,218,815.62)"
Other Income,0,0
   C1 Cash Back Rewards,0,0
   Cash Back Rewards,"3,431.78","9,170.32"
   Interest Earned,0,0
   Other Ordinary Income,0,0
   Other Portfolio Income,0,0
   PPP Forgiveness Income,"56,544.59",0
Total Other Income,"$46,872.83 ","$2,301.16 "
Other Expenses,0,0
   COVID-19 Related Expenses,0,0
   Other Expenses,0,0
      Amortization Expense,0,0
      Bad Debt Expense,0,0
      Depreciation Expense,0,0
      Gain/Loss on Sale of Assets,0,0
      Interest Paid,0,0
   Total Other Expenses,$0.00 ,$0.00 
   Penalties & Settlements,0,0
   Reconciliation Discrepancies,0,0
Total Other Expenses,$0.00 ,$0.00 
Net Other Income,"$99,377.13 ","$3,114.85 "
Net Income,"($149,326.88)","($328,509.58)"
